trade,date,time,session,direction,entry,exit,contracts,strategy,confidence,management,notes,account
1,2026-09-03,09:53,RTH,BUY,7710.5,7735.0,1,Trend Continuation,,Held to TP,Not logged live; recovered from tracker,Sim-50K-Flex
2,2026-09-03,18:00,Overnight/Globex,BUY,7749.0,7743.0,2,Unmanaged Overnight Hold,,Held to SL,"Left running overnight, stop never dragged",Sim-50K-Flex
3,2026-09-04,10:00,RTH,SELL,7728.5,7721.0,2,Trend Continuation,,Trailed for Profit,Actively managed,Sim-50K-Flex
4,2026-09-07,18:00,Overnight/Globex,SELL,7716.75,7690.0,2,Trend Continuation,,Held to TP,"Labor Day -> Tue session, within one trading day",Sim-50K-Flex
5,2026-09-08,08:31,Pre-Market,BUY,7703.75,7709.75,2,Pullback / Retest Entry,,Trailed for Profit,"Entered 4 by mistake, tracked as 2 for accounting",Sim-50K-Flex
6,2026-09-08,10:13,RTH,BUY,7689.75,7693.0,2,Pullback / Retest Entry,,Trailed for Profit,Stopped 1 tick from SL before recovering,Sim-50K-Flex
7,2026-09-08,13:34,RTH,SELL,7702.0,7685.0,2,Trend Continuation,,Held to TP,Closed before 4:45 flatten,Sim-50K-Flex
8,2026-09-08,18:58,Overnight/Globex,BUY,7680.5,7683.5,4,Trend Continuation,,Trailed for Profit,First trade at new 4-contract max size,Sim-50K-Flex
9,2026-09-09,11:34,RTH,BUY,7634.25,7642.5,4,Pullback / Retest Entry,,Trailed for Profit,Reversed higher right after; stop capped upside,Sim-50K-Flex
10,2026-09-10,08:50,Pre-Market,BUY,7603.75,7588.0,4,Counter-Trend Bounce,35,Held to SL,"Support broke cleanly and kept falling, no bounce",Sim-50K-Flex
11,2026-09-10,10:20,RTH,BUY,7592.25,7605.25,4,Pullback / Retest Entry,55,Trailed for Profit,"Zone A primary call, trailed most of the move",Sim-50K-Flex
12,2026-09-10,13:10,RTH,SELL,7612.75,7605.0,4,Resistance / Support Fade,55,Early Exit,"Double-rejection-at-resistance thesis, banked early",Sim-50K-Flex
13,2026-09-11,21:50,Overnight/Globex,BUY,7607.25,7600.0,4,Pullback / Retest Entry,50,Held to SL,"Overnight retest-of-support, thin liquidity",Sim-50K-Flex
